ID,Name,Age,Nationality,Overall,Club,Position,Club Logo,Value,Wage,Year,Value_spread,Wage_spread
223357,W. Kaptoum,19,Cameroon,68,FC Barcelona,Midfield,https://cdn.sofifa.org/teams/2/light/241.png,1.2M,6K,2017,1200000,6000
190361,Toño Ramirez,29,Spain,68,Real Sociedad,GK,https://cdn.sofifa.org/teams/2/light/457.png,918K,1K,2017,918000,1000
220064,C. Aboagye,21,Ghana,68,Granada CF,Midfield,https://cdn.sofifa.org/teams/2/light/110832.png,1.5M,1K,2017,1500000,1000
231866,Rodri,20,Spain,68,Villarreal CF,Midfield,https://cdn.sofifa.org/teams/2/light/483.png,1.6M,6K,2017,1600000,6000
204992,M. Kone,24,Ivory Coast,68,CD Leganés,Forward,https://cdn.sofifa.org/teams/2/light/100888.png,1.3M,2K,2017,1300000,2000
235522,Aleix Febas,20,Spain,67,Real Madrid,Midfield,https://cdn.sofifa.org/teams/2/light/243.png,1.7M,6K,2017,1700000,6000
233738,Zubeldia,19,Spain,67,Real Sociedad,Midfield,https://cdn.sofifa.org/teams/2/light/457.png,1.6M,1K,2017,1600000,1000
235024,S. Díaz,18,Paraguay,67,Real Madrid,Forward,https://cdn.sofifa.org/teams/2/light/243.png,1.5M,4K,2017,1500000,4000
234032,Lluis López,19,Spain,67,RCD Espanyol,Defense,https://cdn.sofifa.org/teams/2/light/452.png,1.1M,1K,2017,1100000,1000
235590,P. Sisniega,20,Mexico,67,Real Sociedad,GK,https://cdn.sofifa.org/teams/2/light/457.png,1.1M,1K,2017,1100000,1000
232008,Toni Lato,18,Spain,67,Valencia CF,Defense,https://cdn.sofifa.org/teams/2/light/461.png,837K,2K,2017,837000,2000
190283,Mario Fernández,28,Spain,67,CA Osasuna,GK,https://cdn.sofifa.org/teams/2/light/479.png,783K,3K,2017,783000,3000
235675,M. García,19,Argentina,67,UD Las Palmas,Forward,https://cdn.sofifa.org/teams/2/light/472.png,1.3M,1K,2017,1300000,1000
234153,Carlos Soler,19,Spain,67,Valencia CF,Midfield,https://cdn.sofifa.org/teams/2/light/461.png,1.6M,6K,2017,1600000,6000
208087,Ayala,23,Spain,67,Valencia CF,Defense,https://cdn.sofifa.org/teams/2/light/461.png,945K,9K,2017,945000,9000
225755,Olavide,20,Spain,67,CA Osasuna,Midfield,https://cdn.sofifa.org/teams/2/light/479.png,1.2M,1K,2017,1200000,1000
