"","County Name","black","hispanic","native","el","swd","ed","act_composite","chronic_abs","suspended","expelled","grad","dropout","math_average","english_average","science_average","household_dollar","region_East TN","region_South Central","region_Northwest","region_Upper Cumberland","region_Southeast","region_First TN","region_Mid Cumberland","region_Southwest/Memphis","stud_tea_ratio"
"34","Hamilton County",31.1,9.6,0.2,5,12.7,60.5,18.9,14.1,7.9,0.6,82.6,12,53.1333333333333,51.3,49.5,50273,0,0,0,0,1,0,0,0,14.7741776257801
"35","Hancock County",0.6,0.7,0.2,0.4,20.1,81.6,17.4,18.6,0.8,0,89.5,7.9,39.2333333333333,41.725,29.6333333333333,29619,0,0,0,0,0,1,0,0,13.1754874651811
"36","Hardeman County",53.5,1.7,0.1,0,15.2,81.8,17.7,12.5,8.7,0.1,86.3,11.8,44.4333333333333,43.125,41.4,36686,0,0,0,0,0,0,0,1,13.6918496464459
"37","Hardin County",5.9,2.3,0.4,0.2,17.4,75.1,18.9,17.5,2.8,0.4,91,3.7,54.1,55.5,56.5333333333333,39092,0,0,0,0,0,0,0,1,15.6839729119639
"38","Hawkins County",3.05,2.4,0.3,1,13.6,56.9,19.3,11.15,2.55,0.1,91.5,5,61.85,57.875,68.35,38728,0,0,0,0,0,1,0,0,15.9630494797197
"39","Haywood County",63.2,7,0,1.9,14.4,75.7,17.4,13.1,3,0,85.2,7.6,44.7,41.925,39.2,36118,0,0,0,0,0,0,0,1,14.0439024390244
"40","Henderson County",16.55,4.35,0.05,0.95,13.85,61.7,19.5,10.8,0,0,96.4,2.4,74.5833333333333,56.3375,68.65,42711,0,0,0,0,0,0,0,1,19.2868852459016
"41","Henry County",16.55,2.15,0.05,0.35,15.3,61.95,19.6,7.65,1.35,0,92,6.2,74.3166666666667,58.15,75.15,40415,0,0,1,0,0,0,0,0,22.9935032483758
"42","Hickman County",3.2,1.7,0.5,0.6,18.1,69.1,18.4,17.3,1.6,0,92.5,5.2,40.3,49.5,55.7666666666667,39333,0,1,0,0,0,0,0,0,14.5473773265651
"43","Houston County",5.1,2.2,0.7,0,16.3,56.7,19.2,26.3,0.2,0,95.8,3.1,59.8,54.975,55.4666666666667,41820,0,0,0,0,0,0,1,0,15.5263157894737
"44","Humphreys County",4.6,1.9,0.4,0.4,15.6,58,18.9,13.5,1.5,0.1,84.5,9.4,47.0666666666667,60.175,62.5,40998,0,0,0,0,0,0,1,0,14.0988671472709
"45","Jackson County",0.9,1.5,0.3,0,19.7,83.4,18.4,8.2,0,0,87.4,8.4,41.5,49.55,61.2,33933,0,0,0,1,0,0,0,0,14.5692158760891
"46","Jefferson County",3.2,7,0.3,3.8,12.6,62.1,19.5,13.2,1.8,0,89.7,7.8,61.4333333333333,56.375,62.7333333333333,45641,1,0,0,0,0,0,0,0,15.3793103448276
"47","Johnson County",0.7,3.8,0.2,1.3,18.5,80.9,19.2,12.3,0,0,98.6,0.7,55.5666666666667,47.6,56.4333333333333,32994,0,0,0,0,0,1,0,0,14.408077994429
"48","Knox County",16.6,7.2,0.4,4.3,13.9,40,20.7,9.4,6.1,0,88.7,7.4,63.7,61.675,62.7666666666667,52458,1,0,0,0,0,0,0,0,15.2312388567724
"49","Lake County",30.2,3.3,0.1,0.1,18.6,77,16.4,31.2,5.5,0.1,89.4,6.4,28.8,33.9,35.7,31993,0,0,1,0,0,0,0,0,11.2083333333333
"50","Lauderdale County",43.6,3.1,0.9,0.9,17.1,81.3,17.6,9.5,6.7,0,97,0.7,65.7,49.375,48.8333333333333,35551,0,0,0,0,0,0,0,1,14.8795811518325
"51","Lawrence County",3.4,2.5,0.2,0.6,14.2,50.5,19.2,20.7,2,0,94.5,3.6,73.2,61.025,69.0333333333333,41522,0,1,0,0,0,0,0,0,15.11038046031
"52","Lewis County",3.3,2.4,0.5,0,14.9,72.1,18.5,19.4,1,0,87.1,9.1,42.6,52.275,44.8333333333333,37092,0,1,0,0,0,0,0,0,14.6013289036545
"53","Lincoln County",17.65,4.7,0.25,1.2,13.35,55.1,19.45,12.05,3.25,0,96.45,1.7,62.0833333333333,61.8,64.0166666666667,42153,0,1,0,0,0,0,0,0,20.4305283757339
"54","Loudon County",2.9,18.05,0.35,7.4,13.95,59.1,18.85,13.75,4.15,0.2,88.95,8.95,61,58.25,60.85,55431,1,0,0,0,0,0,0,0,22.1910293643111
"55","Macon County",0.6,8.2,0.4,2.9,17.1,62.8,18.5,6.6,2,0.2,86,11,56.9,55.225,54.6333333333333,35533,0,0,0,1,0,0,0,0,15.1984956122023
"56","Madison County",60.5,6.7,0.1,4,14.8,78.1,17.3,19.4,13,0.1,94.5,2.6,42.8666666666667,45.375,46.9333333333333,44496,0,0,0,0,0,0,0,1,14.4351710356177
"57","Marion County",5.45,1.55,0.05,0,11.9,62,19.4,19.55,0.4,0.05,88,8.15,50.5333333333333,59.4125,60.775,45366,0,0,0,0,1,0,0,0,17.0934393638171
